,portugese name,query,answer_name,url,,,,
0,684 - Unidade De Combate 2003  Bluray 720p Dual Áudio.mkv,684 - Combat Unit,HID&amp,unit 684 &quot,For Neglected Heroes&quot,,https://www.youtube.com/watch?v=CbDVO4jIxc4,
1,684 - Unidade De Combate 2003  Bluray 720p Dual Áudio.mkv,684 - Combat Unit,Nefes - Vatan Sağolsun (Türk Filmi),https://www.youtube.com/watch?v=NCVuVUT8dNY,,,,
2,684 - Unidade De Combate 2003  Bluray 720p Dual Áudio.mkv,684 - Combat Unit,Marshawn Lynch and Rob Gronkowski Play &quot,Mortal Kombat X&quot, With Conan O&#39,Brien,https://www.youtube.com/watch?v=MNpkSyryQz4,
3,684 - Unidade De Combate 2003  Bluray 720p Dual Áudio.mkv,684 - Combat Unit,Simulated Blue House Raid of KPA&#39,s Special Operation Battalion Unit 525 - Video,https://www.youtube.com/watch?v=hkogFkr46rw,,,
4,684 - Unidade De Combate 2003  Bluray 720p Dual Áudio.mkv,684 - Combat Unit,Yelawolf - Johnny Cash (Official Music Video),https://www.youtube.com/watch?v=HWSZIm17kpY,,,,
5,A Fita Branca 2009 BluRay 720p Dublado.mkv,The White Ribbon,The White Ribbon - Official Trailer,https://www.youtube.com/watch?v=5KJKvvvxY74,,,,
6,A Fita Branca 2009 BluRay 720p Dublado.mkv,The White Ribbon,The White Ribbon trailer english,https://www.youtube.com/watch?v=BE_ByB2ocVk,,,,
7,A Fita Branca 2009 BluRay 720p Dublado.mkv,The White Ribbon,The white Ribbon [ Trailer 2009 ] [ ENG ] - 1080p,https://www.youtube.com/watch?v=L0YKE_xKDYg,,,,
8,A Fita Branca 2009 BluRay 720p Dublado.mkv,The White Ribbon,The White Ribbon (2009) Michael Haneke interview at Cannes,https://www.youtube.com/watch?v=merMVHaLc4g,,,,
9,A Fita Branca 2009 BluRay 720p Dublado.mkv,The White Ribbon,The White Ribbon trailer,https://www.youtube.com/watch?v=YoUgzyUrHag,,,,
10,Alta Tensão 2003 Bluray  1080p Dual Áudio.mkv,High Voltage,"HIGH VOLTAGE Official Trailer (2018) David Arquette, Luke Wilson Sci-Fi Movie HD",https://www.youtube.com/watch?v=g9iOYPI93ZU,,,,
11,Alta Tensão 2003 Bluray  1080p Dual Áudio.mkv,High Voltage,Crank: High Voltage (2009) - Official Trailer,https://www.youtube.com/watch?v=t2koYVqwzT4,,,,
12,Alta Tensão 2003 Bluray  1080p Dual Áudio.mkv,High Voltage,"HIGH VOLTAGE Official Trailer (2018) Horror, Sci-Fi Movie [HD]",https://www.youtube.com/watch?v=VwwfqpnwaSU,,,,
13,Alta Tensão 2003 Bluray  1080p Dual Áudio.mkv,High Voltage,High Voltage - Trailer,https://www.youtube.com/watch?v=urS11Bcpy0o,,,,
14,Alta Tensão 2003 Bluray  1080p Dual Áudio.mkv,High Voltage,Crank 2 (High Voltage) - Official Trailer,https://www.youtube.com/watch?v=bTmiGLsD_Qs,,,,
15,Arraste-Me Para O Inferno 2009 BluRay 1080p Dublado 5.1.mp4,Get Me To Hell,Drag Me To Hell (2009) - Official Trailer (HD),https://www.youtube.com/watch?v=PPOaxHqoYxo,,,,
16,Arraste-Me Para O Inferno 2009 BluRay 1080p Dublado 5.1.mp4,Get Me To Hell,"Drag Me to Hell Official Trailer #1 - Justin Long, Alison Lohman Movie (2009) HD",https://www.youtube.com/watch?v=Cd8NNcd4Oeo,,,,
17,Arraste-Me Para O Inferno 2009 BluRay 1080p Dublado 5.1.mp4,Get Me To Hell,DRAG ME TO HELL Trailer German Deutsch (2009) HD,https://www.youtube.com/watch?v=d11z96byxRM,,,,
18,Arraste-Me Para O Inferno 2009 BluRay 1080p Dublado 5.1.mp4,Get Me To Hell,Drag Me To Hell (2009) Christine Is Dragged To Hell [Ending Scene],https://www.youtube.com/watch?v=rwfspI03FX8,,,,
19,Arraste-Me Para O Inferno 2009 BluRay 1080p Dublado 5.1.mp4,Get Me To Hell,The Hate U Give | Official Trailer [HD] | 20th Century FOX,https://www.youtube.com/watch?v=3MM8OkVT0hw,,,,
20,Desnorteados 2016 BluRay 1080p Dublado-021.mp4,Desnorteados,Perdiendo El Norte Trailer 2015 Español,https://www.youtube.com/watch?v=MC-hmg8flg8,,,,
21,Desnorteados 2016 BluRay 1080p Dublado-021.mp4,Desnorteados,Desnorteados   Trailer #1   A maior produção CNBCaires,https://www.youtube.com/watch?v=o216qL8-uV0,,,,
22,Desnorteados 2016 BluRay 1080p Dublado-021.mp4,Desnorteados,Perdiendo el Norte - Tráiler Oficial HD,https://www.youtube.com/watch?v=oB1Fw1gdB9Q,,,,
23,Desnorteados 2016 BluRay 1080p Dublado-021.mp4,Desnorteados,Desnorteados   Trailer #2   A maior produção CNBCaires,https://www.youtube.com/watch?v=K0A90X6m27Y,,,,
24,Desnorteados 2016 BluRay 1080p Dublado-021.mp4,Desnorteados,"Desnorteado 2016, Filmes Completo 2016 (Dublado Lançament)",https://www.youtube.com/watch?v=M_Ggvf0cGn4,,,,
25,A Vida dos Outros 2007 BluRay 1080p Dual Áudio-018.mkv,The Life of Others,The Lives of Others | Official Trailer (2006),https://www.youtube.com/watch?v=n3_iLOp6IhM,,,,
26,A Vida dos Outros 2007 BluRay 1080p Dual Áudio-018.mkv,The Life of Others,The Lives Of Others Trailer HD,https://www.youtube.com/watch?v=FppW5ml4vdw,,,,
27,A Vida dos Outros 2007 BluRay 1080p Dual Áudio-018.mkv,The Life of Others,&#39,The Lives of Others&#39, trailer,https://www.youtube.com/watch?v=KOdn9Yelxwo,,
28,A Vida dos Outros 2007 BluRay 1080p Dual Áudio-018.mkv,The Life of Others,Das Leben der Anderen (2008) Trailer,https://www.youtube.com/watch?v=J3DsLPq884M,,,,
29,A Vida dos Outros 2007 BluRay 1080p Dual Áudio-018.mkv,The Life of Others,The Lives Of Others (Das Leben der Anderen) (Trailer) [Oscar&#39,s Best Foreign Movie],https://www.youtube.com/watch?v=rrpC7Nf4rBI,,,
30,A Serbian 2010 BluRay 720p LegendaFixa.mp4,A Serbian,A Serbian Film - Trailer,https://www.youtube.com/watch?v=eti8DMptId0,,,,
31,A Serbian 2010 BluRay 720p LegendaFixa.mp4,A Serbian,A Serbian Film (2010) Trailer 1,https://www.youtube.com/watch?v=lwNLxAKS-Dw,,,,
32,A Serbian 2010 BluRay 720p LegendaFixa.mp4,A Serbian,A Serbian Film - Taking Her Virginity,https://www.youtube.com/watch?v=pOrKHBFlVaI,,,,
33,A Serbian 2010 BluRay 720p LegendaFixa.mp4,A Serbian,A Serbian Film (Official Movie Film Cinema Theatrical Teaser Trailer)  | UNCENSORED | HD,https://www.youtube.com/watch?v=Fk-UALdVAVE,,,,
34,96 Minutos 2011 BluRay 720p Dual Áudio.mkv,96 Minutes,96 MINUTES Trailer (Carjacking MOVIE),https://www.youtube.com/watch?v=zCZsOshMWtc,,,,
